Cell_Line,Threshold
A427,-0.75
A549,-0.75
ABC-1,-0.75
BEN,-0.75
CAL-12T,-0.75
COR-L105,-0.75
COR-L23,-0.75
Calu-3,-0.75
Calu-6,-0.75
ChaGo-K-1,-0.75
EBC-1,-0.75
EKVX,-0.75
EMC-BAC-1,-0.75
EMC-BAC-2,-0.75
EPLC-272H,-0.75
H3255,-0.75
HARA,-0.75
HCC-15,-0.75
HCC-366,-0.75
HCC-44,-0.75
HCC-78,-0.75
HCC-827,-0.75
HOP-62,-0.75
HOP-92,-0.75
IA-LM,-0.75
KNS-62,-0.75
LC-1-sq,-0.75
LC-2-ad,-0.75
LCLC-103H,-0.75
LCLC-97TM1,-0.75
LK-2,-0.75
LOU-NH91,-0.75
LU-65,-0.75
LU-99A,-0.75
LXF-289,-0.75
NCI-H1155,-0.75
NCI-H1299,-0.75
NCI-H1355,-0.75
NCI-H1435,-0.75
NCI-H1437,-0.75
NCI-H1563,-0.75
NCI-H1568,-0.75
NCI-H1573,-0.75
NCI-H1581,-0.75
NCI-H1623,-0.75
NCI-H1648,-0.75
NCI-H1650,-0.75
NCI-H1651,-0.75
NCI-H1666,-0.75
NCI-H1693,-0.75
NCI-H1703,-0.75
NCI-H1734,-0.75
NCI-H1755,-0.75
NCI-H1770,-0.75
NCI-H1781,-0.75
NCI-H1792,-0.75
NCI-H1793,-0.75
NCI-H1838,-0.75
NCI-H1869,-0.75
NCI-H1915,-0.75
NCI-H1944,-0.75
NCI-H1975,-0.75
NCI-H1993,-0.75
NCI-H2009,-0.75
NCI-H2023,-0.75
NCI-H2030,-0.75
NCI-H2085,-0.75
NCI-H2087,-0.75
NCI-H2110,-0.75
NCI-H2122,-0.75
NCI-H2135,-0.75
NCI-H2170,-0.75
NCI-H2172,-0.75
NCI-H2228,-0.75
NCI-H226,-0.75
NCI-H2291,-0.75
NCI-H23,-0.75
NCI-H2342,-0.75
NCI-H2347,-0.75
NCI-H2405,-0.75
NCI-H2444,-0.75
NCI-H292,-0.75
NCI-H3122,-0.75
NCI-H322M,-0.75
NCI-H358,-0.75
NCI-H441,-0.75
NCI-H460,-0.75
NCI-H520,-0.75
NCI-H522,-0.75
NCI-H596,-0.75
NCI-H647,-0.75
NCI-H650,-0.75
NCI-H661,-0.75
NCI-H720,-0.75
NCI-H727,-0.75
NCI-H810,-0.75
NCI-H835,-0.75
NCI-H838,-0.75
PC-14,-0.75
PC-3_[JPC-3],-0.75
RERF-LC-KJ,-0.75
RERF-LC-MS,-0.75
RERF-LC-Sq1,-0.75
SK-LU-1,-0.75
SK-MES-1,-0.75
SW1573,-0.75
UMC-11,-0.75
VMRC-LCD,-0.75
