Metric,Value
Source script,gdsc_classLAG_AD_z05.py
Source results,/home/medicina/GDSC_ANALYSIS/results/z0.5_weighted/gdsc_weighted_results_20260522_172746.csv
Z_THRESHOLD,-0.5
AD method,"CLASS-LAG = min(p, 1-p)"
Fingerprint,Avalon 2048-bit
Classifier,RandomForest n=100 seed=42 sample_weight=balanced
Cell lines,107
Mean % sensitive,19.7
Overall AUC,0.5696
Mean CLASS-LAG,0.1893
% CLASS-LAG < 0.2,58.7
% CLASS-LAG < 0.3,77.9
Best AUC,0.5696
Best coverage col,AUC_cov100
Baseline AUC,0.5696
Max AUC gain,0.0
Mean AUC 10% coverage,0.5563
Mean AUC 20% coverage,0.5604
Mean AUC 30% coverage,0.5459
Mean AUC 40% coverage,0.5557
Mean AUC 50% coverage,0.5605
Mean AUC 60% coverage,0.5467
Mean AUC 70% coverage,0.5373
Mean AUC 80% coverage,0.5377
Mean AUC 90% coverage,0.554
Mean AUC 100% coverage,0.5696
