Configuration,Hypothesis,Test,Statistic,p_value,Interpretation
z0_unwt,H1 - Wrong algorithm,"Kruskal-Wallis AUC across algorithms (RandomForest, LogisticRegression, GradientBoosting, SVM)",H=62.0857; AUC range=0.0274,2.1064e-13,"Algorithms differ statistically, but the practical AUC range is 0.0274 and the best mean AUC is 0.5629."
z0_unwt,H1 - Overfitting / AD test,Paired Wilcoxon: CLASS-LAG AUC@10% vs AUC@100% (95 valid cell lines),W=1618.0; paired mean gain=0.0583,0.0140,"If AD filtering rescued the model, the top-confidence subset would show a large AUC gain."
z0_unwt,H2 - Insufficient data,Pearson r: cell-line sample size vs mean AUC (108 cell lines),r=0.1973,0.0407,Tests whether larger cell-line datasets have higher AUC.
z0_unwt,H2 - Class imbalance,Pearson r: percent sensitive vs mean AUC (108 cell lines),r=-0.1370,0.1574,Tests whether class balance explains AUC variation.
z0_unwt,H2 - Class imbalance (balanced vs not),Mann-Whitney: balanced(n=35) vs imbalanced(n=73),U=1521.0; balanced=0.5577; imbalanced=0.5466,0.1107,Compares AUC in balanced and imbalanced cell lines.
z0_unwt,H3 - Ranking / threshold issue,One-sample t-test: per-cell-line mean AUC vs 0.5,"t=14.0078; mean AUC=0.5502; 95% CI=[0.5431,0.5573]",5.9801e-26,"AUC is threshold-independent; a low AUC indicates weak ranking, not only poor calibration."
z0_unwt,AD - Consensus model agreement,Best CONS-STD AUC coverage vs 100% coverage,best=0.5596 (CS_cov100); baseline=0.5596; gain=+0.0000,n/a,Checks whether selecting compounds with stronger consensus agreement improves AUC.
z0_unwt,H4 - Feature insufficiency (variance decomposition),Additive variance decomposition of Z-score matrix,Drug=3.7%; Cell-line=18.0%; Residual=78.3%,n/a,Cell-line identity explains 4.8x more variance than drug identity.
z0_unwt,"H4 - Feature insufficiency (structural vs response, AVALON)",Spearman r: pairwise Tanimoto (AVALON) vs pairwise response correlation (n=5000 drug pairs),r_s=0.0958,1.15e-11,r^2=0.92%: AVALON Tanimoto explains little response-profile similarity.
z0_unwt,"H4 - Feature insufficiency (structural vs response, ECFP4)",Spearman r: pairwise Tanimoto (ECFP4) vs pairwise response correlation (n=5000 drug pairs),r_s=0.0426,2.57e-03,r^2=0.18%: ECFP4 Tanimoto explains little response-profile similarity.
z0_unwt,"H4 - Feature insufficiency (structural vs response, MACCS)",Spearman r: pairwise Tanimoto (MACCS) vs pairwise response correlation (n=5000 drug pairs),r_s=0.0651,4.12e-06,r^2=0.42%: MACCS Tanimoto explains little response-profile similarity.
z0_unwt,H4 - Feature insufficiency (within-drug response variance),Mean variance of drug response across 108 cell lines,Drug-across-cell-lines var=0.8820; Cell-line-across-drugs var=0.7399,n/a,High within-drug variance means the same drug behaves differently across cell-line contexts.
